"date","daytype","rides"
"06/07/2002","W","5,897"
"06/08/2002","A","4,565"
"06/09/2002","U","3,253"
"06/10/2002","W","5,193"
"06/11/2002","W","5,407"
"06/12/2002","W","5,573"
"06/13/2002","W","5,602"
"06/14/2002","W","9,815"
"06/15/2002","A","10,706"
"06/16/2002","U","6,901"
"06/17/2002","W","5,335"
"06/18/2002","W","12,031"
"06/19/2002","W","12,869"
"06/20/2002","W","13,506"
"06/21/2002","W","11,749"
"06/22/2002","A","12,566"
"06/23/2002","U","8,518"
"06/24/2002","W","12,258"
"06/25/2002","W","11,508"
"06/26/2002","W","11,528"
"06/27/2002","W","13,091"
"06/28/2002","W","6,022"
"06/29/2002","A","4,871"
"06/30/2002","U","8,011"
"07/01/2002","W","5,299"
"07/02/2002","W","5,470"
"07/03/2002","W","6,708"
"07/04/2002","U","3,587"
"07/05/2002","W","4,722"
"07/06/2002","A","4,126"
"07/07/2002","U","2,955"
"07/08/2002","W","4,838"
"07/09/2002","W","5,178"
"07/10/2002","W","5,368"
"07/11/2002","W","5,483"
"07/12/2002","W","11,187"
"07/13/2002","A","9,427"
"07/14/2002","U","9,976"
"07/15/2002","W","11,592"
"07/16/2002","W","12,735"
"07/17/2002","W","5,347"
"07/18/2002","W","5,276"
"07/19/2002","W","10,950"
"07/20/2002","A","12,144"
"07/21/2002","U","8,864"
"07/22/2002","W","11,635"
"07/23/2002","W","12,067"
"07/24/2002","W","11,714"
"07/25/2002","W","10,194"
"07/26/2002","W","5,825"
"07/27/2002","A","4,371"
"07/28/2002","U","3,022"
"07/29/2002","W","4,982"
"07/30/2002","W","11,444"
"07/31/2002","W","9,756"
"08/01/2002","W","9,297"
"08/02/2002","W","10,523"
"08/03/2002","A","8,728"
"08/04/2002","U","8,394"
"08/05/2002","W","4,966"
"08/06/2002","W","5,236"
"08/07/2002","W","5,122"
"08/08/2002","W","5,229"
"08/09/2002","W","5,720"
"08/10/2002","A","5,648"
"08/11/2002","U","4,584"
"08/12/2002","W","10,331"
"08/13/2002","W","11,266"
"08/14/2002","W","11,253"
"08/15/2002","W","12,737"
"08/16/2002","W","13,644"
"08/17/2002","A","11,741"
"08/18/2002","U","10,082"
"08/19/2002","W","5,019"
"08/20/2002","W","5,307"
"08/21/2002","W","5,097"
"08/22/2002","W","4,623"
"08/23/2002","W","5,388"
"08/24/2002","A","4,378"
"08/25/2002","U","3,289"
"08/26/2002","W","5,001"
"08/27/2002","W","5,469"
"08/28/2002","W","5,272"
"08/29/2002","W","4,755"
"08/30/2002","W","10,287"
"08/31/2002","A","14,881"
"09/01/2002","U","9,651"
"09/02/2002","U","7,079"
"09/03/2002","W","8,271"
"09/04/2002","W","8,011"
"09/05/2002","W","5,654"
"09/06/2002","W","5,753"
"09/07/2002","A","4,133"
"09/08/2002","U","2,885"
"09/09/2002","W","7,728"
"09/10/2002","W","8,914"
"09/11/2002","W","8,428"
"09/12/2002","W","5,615"
"09/13/2002","W","6,499"
"09/14/2002","A","4,557"
"09/15/2002","U","3,313"
"09/16/2002","W","5,303"
"09/17/2002","W","5,467"
"09/18/2002","W","5,638"
"09/19/2002","W","5,649"
"09/20/2002","W","5,812"
"09/21/2002","A","4,580"
"09/22/2002","U","2,976"
"09/23/2002","W","5,683"
"09/24/2002","W","9,628"
"09/25/2002","W","9,971"
"09/26/2002","W","8,739"
"09/27/2002","W","10,455"
"09/28/2002","A","10,281"
"09/29/2002","U","7,592"
"09/30/2002","W","5,350"
"10/01/2002","W","5,516"
"10/02/2002","W","5,531"
"10/03/2002","W","5,694"
"10/04/2002","W","5,804"
"10/05/2002","A","4,589"
"10/06/2002","U","3,217"
"10/07/2002","W","5,544"
"10/08/2002","W","5,480"
"10/09/2002","W","5,668"
"10/10/2002","W","5,795"
"10/11/2002","W","6,490"
"10/12/2002","A","4,579"
"10/13/2002","U","4,332"
"10/14/2002","W","5,048"
